Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0234	The type or namespace name 'Contracts' does not exist in the namespace 'TheTechIdea.Beep.Winform.Controls.Integrated.Blocks' (are you missing an assembly reference?)	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Forms\BeepForms\BeepForms.DragDrop.cs	7		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.IsQueryMode'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.IsMaster'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.View'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigationBar'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.Definition'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0738	'BeepBlock' does not implement interface member 'IBlockView.ViewState'. 'BeepBlock.ViewState' cannot implement 'IBlockView.ViewState' because it does not have the matching return type of 'object'.	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.RecordCount'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.CurrentRecordIndex'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.CurrentRecord'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.FieldPresenters'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.FindFieldPresenter(string)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.AddFieldPresenter(IFieldPresenter)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.RemoveFieldPresenter(string)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.ExecuteQueryAsync(CancellationToken)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.SaveAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.InsertRecordAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.DeleteCurrentRecordAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.ClearAsync(CancellationToken)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.ClearRecordAsync(CancellationToken)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigateFirstAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigateLastAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigateNextAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigatePreviousAsync()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.NavigateToRecordAsync(int)'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS0535	'BeepBlock' does not implement interface member 'IBlockView.RefreshPresenters()'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	19		
Error (active)	CS1061	'IBeepFormsHost' does not contain a definition for 'FormName' and no accessible extension method 'FormName' accepting a first argument of type 'IBeepFormsHost' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	33		
Error (active)	CS1597	Semicolon after method or accessor block is not valid	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	67		
Error (active)	CS0103	The name 'InitializeKeyboardShortcuts' does not exist in the current context	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	73		
Error (active)	CS1061	'BeepBlockViewState' does not contain a definition for 'IsQueryAllowed' and no accessible extension method 'IsQueryAllowed' accepting a first argument of type 'BeepBlockViewState' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	121		
Error (active)	CS0229	Ambiguity between 'BeepBlock.EffectiveDefinition' and 'BeepBlock.EffectiveDefinition'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.cs	129		
Error (active)	CS0102	The type 'BeepBlock' already contains a definition for 'EffectiveDefinition'	TheTechIdea.Beep.Winform.Controls.Integrated	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Controls\Blocks\BeepBlock\BeepBlock.Metadata.cs	18		
